"Year";"Commune";"Visitors' country of residence - total Arrivals";"Visitors' country of residence - total Overnight stays"
"2020";"Lancy";25670;45125
"2020";"Meyrin";84062;140337
"2020";"Vernier";20214;38479
"2020";"Delémont";14379;26403
"2020";"Saignelégier";13616;21988
"2020";"Porrentruy";6227;11365
"2020";"Clos du Doubs";6242;9271
"2020";"Moutier (JU)";...;...
"2021";"Kloten";86050;135607
"2021";"Opfikon";153498;255084
"2021";"Dübendorf";12962;24825
"2021";"Uster";8732;26826
"2021";"Winterthur";56180;109726
"2021";"Zürich";862466;1650531
"2021";"Wädenswil";7711;13605
"2021";"Horgen";5824;10250
"2021";"Langenthal";16578;25915
"2021";"Bern";306656;511474
"2021";"Köniz";4764;9820
"2021";"Biel/Bienne";40039;70864
"2021";"Burgdorf";21348;32404
"2021";"Adelboden";74755;192155
"2021";"Aeschi bei Spiez";8112;18821
"2021";"Kandersteg";56526;106773
"2021";"Reichenbach im Kandertal";14073;33485
"2021";"Beatenberg";41080;99645
"2021";"Brienz (BE)";49798;85784
"2021";"Grindelwald";222128;481566
"2021";"Interlaken";168510;374682
"2021";"Lauterbrunnen";108823;259940
"2021";"Matten bei Interlaken";15180;42146
"2021";"Unterseen";37800;77836
"2021";"Wilderswil";24810;54418
"2021";"Moutier (BE)";1699;2878
"2021";"Diemtigen";4752;11699
"2021";"Spiez";75288;139036
"2021";"Hasliberg";27991;72339
"2021";"Innertkirchen";14795;23538
"2021";"Meiringen";25627;43471
"2021";"Lenk";57429;124946
"2021";"Saanen";165170;388040
"2021";"Langnau im Emmental";6075;9150
"2021";"Schangnau";13988;18049
"2021";"Sigriswil";57673;166768
"2021";"Thun";63410;106736
"2021";"Herzogenbuchsee";2064;5741
"2021";"Emmen";8990;20578
"2021";"Kriens";36446;61540
"2021";"Luzern";340963;619486
"2021";"Meggen";6105;9749
"2021";"Vitznau";37245;70820
"2021";"Weggis";108767;228893
"2021";"Sursee";14507;27628
"2021";"Andermatt";92527;185142
"2021";"Gurtnellen";4994;5502
"2021";"Einsiedeln";22601;42900
"2021";"Feusisberg";28777;46246
"2021";"Freienbach";23557;38413
"2021";"Küssnacht (SZ)";15241;27360
"2021";"Ingenbohl";34778;66408
"2021";"Morschach";105791;269702
"2021";"Schwyz";6624;12666
"2021";"Engelberg";76899;162531
"2021";"Sachseln";24630;48370
"2021";"Sarnen";24596;54921
"2021";"Beckenried";22058;37023
"2021";"Emmetten";16402;27375
"2021";"Glarus Nord";16912;34621
"2021";"Glarus Süd";28687;69721
"2021";"Unterägeri";8484;15267
"2021";"Zug";25474;77524
"2021";"Haut-Intyamon";1295;2082
"2021";"Bulle";23899;37771
"2021";"Gruyères";15255;22184
"2021";"Fribourg";41072;64161
"2021";"Murten";25339;45409
"2021";"Plaffeien";17193;33430
"2021";"Egerkingen";23873;34903
"2021";"Grenchen";8034;15320
"2021";"Olten";26815;57850
"2021";"Solothurn";56904;89009
"2021";"Basel";437169;776773
"2021";"Liestal";11588;22353
"2021";"Pratteln";33034;53275
"2021";"Schaffhausen";56038;88194
"2021";"Hundwil";21497;28868
"2021";"Gais";7698;11010
"2021";"Teufen (AR)";4282;8807
"2021";"Heiden";16899;35218
"2021";"Appenzell";30746;53549
"2021";"Gonten";8276;19084
"2021";"St. Gallen";95505;187058
"2021";"Rorschacherberg";19668;33157
"2021";"Altstätten";4037;6160
"2021";"Buchs (SG)";9771;31894
"2021";"Bad Ragaz";62461;154289
"2021";"Flums";9284;16678
"2021";"Quarten";23512;45089
"2021";"Walenstadt";5943;11151
"2021";"Amden";9209;16826
"2021";"Rapperswil-Jona";9885;16655
"2021";"Eschenbach (SG)";799;2365
"2021";"Wildhaus-Alt St. Johann";35276;81555
"2021";"Neckertal";...;...
"2021";"Uzwil";8264;28283
"2021";"Wil (SG)";14012;28078
"2021";"Vaz/Obervaz";112959;300977
"2021";"Surses";23051;51783
"2021";"Poschiavo";35353;75672
"2021";"Laax";76291;297584
"2021";"Vals";42698;86132
"2021";"Lumnezia";6209;14419
"2021";"Ilanz/Glion";11250;19740
"2021";"Rheinwald";11458;21501
"2021";"Flims";90787;243033
"2021";"Zernez";32415;75172
"2021";"Samnaun";51011;166225
"2021";"Scuol";94779;271306
"2021";"Celerina/Schlarigna";33578;109548
"2021";"Pontresina";96950;332983
"2021";"Samedan";18679;43396
"2021";"St. Moritz";180399;586198
"2021";"Bregaglia";24920;61249
"2021";"Val Müstair";33969;65298
"2021";"Davos";269912;706743
"2021";"Klosters";47385;129878
"2021";"Chur";78289;130793
"2021";"Arosa";116443;359914
"2021";"Maienfeld";13792;23868
"2021";"Breil/Brigels";19762;54247
"2021";"Tujetsch";15454;41393
"2021";"Aarau";12208;18197
"2021";"Baden";30882;62741
"2021";"Lenzburg";11876;22466
"2021";"Rheinfelden";6221;15343
"2021";"Zofingen";5633;13073
"2021";"Arbon";16342;29044
"2021";"Frauenfeld";11501;33373
"2021";"Kreuzlingen";18303;35281
"2021";"Bellinzona";66634;110081
"2021";"Ascona";178998;549045
"2021";"Locarno";156908;378627
"2021";"Muralto";60592;139685
"2021";"Lugano";264984;587979
"2021";"Paradiso";99640;209359
"2021";"Collina d'Oro";11477;32789
"2021";"Monteceneri";2292;4669
"2021";"Chiasso";15488;22618
"2021";"Mendrisio";20952;37338
"2021";"Leysin";56443;130184
"2021";"Ollon";41453;83489
"2021";"Ormont-Dessus";17144;38349
"2021";"Bullet";13525;27366
"2021";"Lausanne";298481;597123
"2021";"Bourg-en-Lavaux";18405;30569
"2021";"Morges";22537;41672
"2021";"Nyon";14039;32416
"2021";"Château-d'Oex";8466;15941
"2021";"Le Chenit";9818;16008
"2021";"Montreux";163293;329292
"2021";"Vevey";36428;70531
"2021";"Blonay - Saint-Légier";...;...
"2021";"Yverdon-les-Bains";41385;72375
"2021";"Brig-Glis";63235;145521
"2021";"Nendaz";20411;37426
"2021";"Orsières";30783;43694
"2021";"Val de Bagnes";58479;132633
"2021";"Goms";25197;58217
"2021";"Evolène";15933;28279
"2021";"Leukerbad";110495;226974
"2021";"Martigny";44331;73700
"2021";"Champéry";25570;51188
"2021";"Saint-Maurice";9691;18245
"2021";"Sierre";17363;31120
"2021";"Anniviers";50584;115156
"2021";"Crans-Montana";80474;205323
"2021";"Sion";39090;63694
"2021";"Saas-Fee";98220;288024
"2021";"Saas-Grund";15848;52391
"2021";"Visp";17104;36030
"2021";"Zermatt";417050;1064727
"2021";"La Grande Béroche";4463;7456
"2021";"La Chaux-de-Fonds";19508;30865
"2021";"Neuchâtel";81057;135451
"2021";"Laténa";...;...
"2021";"Genève";479801;1102356
"2021";"Lancy";29242;54958
"2021";"Meyrin";92386;139033
"2021";"Vernier";21013;47396
"2021";"Delémont";17900;31824
"2021";"Saignelégier";17284;27636
"2021";"Porrentruy";9766;17222
"2021";"Clos du Doubs";7892;11612
"2021";"Moutier (JU)";...;...
"2022";"Kloten";243430;367999
"2022";"Opfikon";365176;609612
"2022";"Dübendorf";20845;37532
"2022";"Uster";13196;37917
"2022";"Winterthur";90236;165803
"2022";"Zürich";1745522;3284911
"2022";"Wädenswil";7335;12961
"2022";"Horgen";8340;14161
"2022";"Langenthal";20792;31944
"2022";"Bern";472457;820916
"2022";"Köniz";7364;17552
"2022";"Biel/Bienne";52315;87405
"2022";"Burgdorf";23067;34196
"2022";"Adelboden";81453;202890
"2022";"Aeschi bei Spiez";9738;18911
"2022";"Kandersteg";60254;118202
"2022";"Reichenbach im Kandertal";17881;42060
"2022";"Beatenberg";54423;136384
"2022";"Brienz (BE)";54668;94942
"2022";"Grindelwald";311947;709503
"2022";"Interlaken";301678;657435
"2022";"Lauterbrunnen";182551;473170
"2022";"Matten bei Interlaken";20383;51929
"2022";"Unterseen";60443;130480
"2022";"Wilderswil";43448;105497
"2022";"Moutier (BE)";1810;3508
"2022";"Diemtigen";5097;11936
"2022";"Spiez";75573;137930
"2022";"Hasliberg";32876;75985
"2022";"Innertkirchen";17191;27413
"2022";"Meiringen";28813;50384
"2022";"Lenk";56690;122917
"2022";"Saanen";144163;368675
"2022";"Langnau im Emmental";6425;10193
"2022";"Schangnau";7055;9367
"2022";"Sigriswil";54515;157023
"2022";"Thun";72822;126800
"2022";"Herzogenbuchsee";2310;4063
"2022";"Emmen";15245;33225
"2022";"Kriens";68873;118075
"2022";"Luzern";583780;1099435
"2022";"Meggen";7692;13285
"2022";"Vitznau";40930;83587
"2022";"Weggis";94979;214817
"2022";"Sursee";18913;36400
"2022";"Andermatt";88495;183243
"2022";"Gurtnellen";5093;5992
"2022";"Einsiedeln";30047;57217
"2022";"Feusisberg";29659;50578
"2022";"Freienbach";31118;51143
"2022";"Küssnacht (SZ)";19810;33516
"2022";"Ingenbohl";33637;62017
"2022";"Morschach";95116;234655
"2022";"Schwyz";8897;16978
"2022";"Engelberg";116387;254663
"2022";"Sachseln";30844;58306
"2022";"Sarnen";24319;57195
"2022";"Beckenried";23672;38180
"2022";"Emmetten";22059;36168
"2022";"Glarus Nord";28588;58014
"2022";"Glarus Süd";29522;67998
"2022";"Unterägeri";10134;17265
"2022";"Zug";41324;109873
"2022";"Haut-Intyamon";1766;2900
"2022";"Bulle";36822;61337
"2022";"Gruyères";21207;29208
"2022";"Fribourg";48247;72053
"2022";"Murten";25133;38139
"2022";"Plaffeien";14946;29462
"2022";"Egerkingen";33260;49154
"2022";"Grenchen";9718;18012
"2022";"Olten";37947;72902
"2022";"Solothurn";60363;95393
"2022";"Basel";698372;1289536
"2022";"Liestal";15783;27231
"2022";"Pratteln";48860;78733
"2022";"Schaffhausen";62572;102166
"2022";"Hundwil";21968;28874
"2022";"Gais";7269;11278
"2022";"Teufen (AR)";4172;8362
"2022";"Heiden";11219;21992
"2022";"Appenzell";30886;50425
"2022";"Gonten";7557;19739
"2022";"St. Gallen";143879;265651
"2022";"Rorschacherberg";19122;31280
"2022";"Altstätten";6538;11619
"2022";"Buchs (SG)";13099;34605
"2022";"Bad Ragaz";64857;158596
"2022";"Flums";10174;18682
"2022";"Quarten";30572;59260
"2022";"Walenstadt";6458;11835
"2022";"Amden";10541;19740
"2022";"Rapperswil-Jona";20041;37288
"2022";"Eschenbach (SG)";728;2575
"2022";"Wildhaus-Alt St. Johann";40231;88190
"2022";"Neckertal";...;...
"2022";"Uzwil";11402;38865
"2022";"Wil (SG)";16378;29528
"2022";"Vaz/Obervaz";103768;269326
"2022";"Surses";29718;69211
"2022";"Poschiavo";37232;71400
"2022";"Laax";71409;278037
"2022";"Vals";37136;74108
"2022";"Lumnezia";5558;13215
"2022";"Ilanz/Glion";12799;23629
"2022";"Rheinwald";10688;19409
"2022";"Flims";87615;239623
"2022";"Zernez";33367;67747
"2022";"Samnaun";44936;155643
"2022";"Scuol";91150;263553
"2022";"Celerina/Schlarigna";35930;104839
"2022";"Pontresina";103479;341247
"2022";"Samedan";24556;51652
"2022";"St. Moritz";262542;788114
"2022";"Bregaglia";25713;59814
"2022";"Val Müstair";26092;54721
"2022";"Davos";306648;830116
"2022";"Klosters";52093;150036
"2022";"Chur";122694;191798
"2022";"Arosa";130097;402592
"2022";"Maienfeld";19939;30691
"2022";"Breil/Brigels";17256;44183
"2022";"Tujetsch";19670;54559
"2022";"Aarau";18324;28423
"2022";"Baden";48685;106623
"2022";"Lenzburg";14737;26748
"2022";"Rheinfelden";6841;17920
"2022";"Zofingen";9141;17523
"2022";"Arbon";18880;33647
"2022";"Frauenfeld";13666;33411
"2022";"Kreuzlingen";23835;42645
"2022";"Bellinzona";66599;99223
"2022";"Ascona";153258;449046
"2022";"Locarno";136663;298849
"2022";"Muralto";57899;126550
"2022";"Lugano";279324;563584
"2022";"Paradiso";107474;195031
"2022";"Collina d'Oro";8410;19076
"2022";"Monteceneri";2495;4271
"2022";"Chiasso";15178;28681
"2022";"Mendrisio";26791;45223
"2022";"Leysin";75953;176351
"2022";"Ollon";45958;104951
"2022";"Ormont-Dessus";23764;59304
"2022";"Bullet";10446;22641
"2022";"Lausanne";428445;857058
"2022";"Bourg-en-Lavaux";18137;29448
"2022";"Morges";27924;51860
"2022";"Nyon";28223;59661
"2022";"Château-d'Oex";9480;19420
"2022";"Le Chenit";15224;24513
"2022";"Montreux";218894;427276
"2022";"Vevey";43574;91132
"2022";"Blonay - Saint-Légier";17179;29901
"2022";"Yverdon-les-Bains";44566;75233
"2022";"Brig-Glis";84009;192756
"2022";"Nendaz";17366;32958
"2022";"Orsières";41725;55327
"2022";"Val de Bagnes";63404;183635
"2022";"Goms";25647;58853
"2022";"Evolène";20079;35562
"2022";"Leukerbad";102705;214484
"2022";"Martigny";57260;91705
"2022";"Champéry";34706;70231
"2022";"Saint-Maurice";11692;21800
"2022";"Sierre";20452;33990
"2022";"Anniviers";54477;152059
"2022";"Crans-Montana";84008;221562
"2022";"Sion";61762;96331
"2022";"Saas-Fee";86843;262675
"2022";"Saas-Grund";22811;64407
"2022";"Visp";22866;41009
"2022";"Zermatt";581552;1481092
"2022";"La Grande Béroche";7079;12583
"2022";"La Chaux-de-Fonds";17501;27714
"2022";"Neuchâtel";92383;156230
"2022";"Laténa";...;...
"2022";"Genève";895919;2006611
"2022";"Lancy";46953;93685
"2022";"Meyrin";268412;459373
"2022";"Vernier";46170;84364
"2022";"Delémont";21938;38700
"2022";"Saignelégier";14078;23247
"2022";"Porrentruy";9101;14453
"2022";"Clos du Doubs";6270;10427
"2022";"Moutier (JU)";...;...
"2023";"Kloten";315106;464684
"2023";"Opfikon";465796;742327
"2023";"Dübendorf";25029;46349
"2023";"Uster";15533;45873
"2023";"Winterthur";106438;196959
"2023";"Zürich";2093483;3831641
"2023";"Wädenswil";7475;12367
"2023";"Horgen";8731;14436
"2023";"Langenthal";22351;34649
"2023";"Bern";601276;1044046
"2023";"Köniz";8187;20437
"2023";"Biel/Bienne";62108;99209
"2023";"Burgdorf";23759;35164
"2023";"Adelboden";90906;220370
"2023";"Aeschi bei Spiez";17770;27978
"2023";"Kandersteg";63027;122335
"2023";"Reichenbach im Kandertal";17244;38423
"2023";"Beatenberg";62629;141394
"2023";"Brienz (BE)";66613;112778
"2023";"Grindelwald";381803;830170
"2023";"Interlaken";393194;804544
"2023";"Lauterbrunnen";199318;498608
"2023";"Matten bei Interlaken";25883;61685
"2023";"Unterseen";80248;173959
"2023";"Wilderswil";62038;128554
"2023";"Moutier (BE)";1902;3483
"2023";"Diemtigen";4645;11801
"2023";"Spiez";79488;144834
"2023";"Hasliberg";42506;94259
"2023";"Innertkirchen";18604;28555
"2023";"Meiringen";35216;62711
"2023";"Lenk";57624;118604
"2023";"Saanen";144665;362602
"2023";"Langnau im Emmental";7195;10753
"2023";"Schangnau";7669;10552
"2023";"Sigriswil";55400;119368
"2023";"Thun";85745;149745
"2023";"Herzogenbuchsee";3075;5276
"2023";"Emmen";18158;34236
"2023";"Kriens";82992;142288
"2023";"Luzern";730983;1328369
"2023";"Meggen";9152;15675
"2023";"Vitznau";42120;87486
"2023";"Weggis";96630;212252
"2023";"Sursee";25292;44472
"2023";"Andermatt";70068;152220
"2023";"Gurtnellen";6941;7520
"2023";"Einsiedeln";30685;56070
"2023";"Feusisberg";28365;47499
"2023";"Freienbach";33433;56914
"2023";"Küssnacht (SZ)";24108;38820
"2023";"Ingenbohl";38930;59769
"2023";"Morschach";118836;266958
"2023";"Schwyz";12567;20443
