"Year";"Commune";"Visitors' country of residence - total Arrivals";"Visitors' country of residence - total Overnight stays"
"2024";"Thun";102011;174100
"2024";"Herzogenbuchsee";3349;5381
"2024";"Emmen";17240;35073
"2024";"Kriens";78442;137113
"2024";"Luzern";791261;1412735
"2024";"Meggen";8971;15751
"2024";"Vitznau";42246;89562
"2024";"Weggis";93514;200213
"2024";"Sursee";30262;45337
"2024";"Andermatt";66728;141591
"2024";"Gurtnellen";7284;7910
"2024";"Einsiedeln";34499;59757
"2024";"Feusisberg";34271;59848
"2024";"Freienbach";32808;56594
"2024";"Küssnacht (SZ)";23451;40918
"2024";"Ingenbohl";36869;58658
"2024";"Morschach";121559;272628
"2024";"Schwyz";13486;21107
"2024";"Engelberg";152101;328506
"2024";"Sachseln";34506;66463
"2024";"Sarnen";25581;54880
"2024";"Beckenried";25003;42020
"2024";"Emmetten";23976;40417
"2024";"Glarus Nord";35901;76054
"2024";"Glarus Süd";28436;60499
"2024";"Unterägeri";13348;23900
"2024";"Zug";42935;113242
"2024";"Haut-Intyamon";2669;4248
"2024";"Bulle";47451;76731
"2024";"Gruyères";20956;28333
"2024";"Fribourg";46596;70473
"2024";"Murten";19289;29664
"2024";"Plaffeien";15263;27558
"2024";"Egerkingen";51535;75921
"2024";"Grenchen";9284;17707
"2024";"Olten";45695;74237
"2024";"Solothurn";60038;97634
"2024";"Basel";850259;1543941
"2024";"Liestal";15733;25575
"2024";"Pratteln";56658;90016
"2024";"Schaffhausen";69005;111361
"2024";"Hundwil";18163;23848
"2024";"Gais";8213;11530
"2024";"Teufen (AR)";4983;8857
"2024";"Heiden";14369;29193
"2024";"Appenzell";30559;49013
"2024";"Gonten";10076;23532
"2024";"St. Gallen";162123;304036
"2024";"Rorschacherberg";18714;29073
"2024";"Altstätten";5834;11259
"2024";"Buchs (SG)";17852;32716
"2024";"Bad Ragaz";60010;147321
"2024";"Flums";10541;21295
"2024";"Quarten";30627;61001
"2024";"Walenstadt";7239;11705
"2024";"Amden";11163;20354
"2024";"Rapperswil-Jona";23240;41636
"2024";"Eschenbach (SG)";1233;1949
"2024";"Wildhaus-Alt St. Johann";43273;93468
"2024";"Neckertal";7738;19971
"2024";"Uzwil";11731;38835
"2024";"Wil (SG)";20955;34450
"2024";"Vaz/Obervaz";104372;263555
"2024";"Surses";32186;69864
"2024";"Poschiavo";38464;71680
"2024";"Laax";61425;254402
"2024";"Vals";33087;65426
"2024";"Lumnezia";5306;12150
"2024";"Ilanz/Glion";13060;22667
"2024";"Rheinwald";11049;19189
"2024";"Flims";66983;194020
"2024";"Zernez";35556;69849
"2024";"Samnaun";47356;157719
"2024";"Scuol";91825;260041
"2024";"Celerina/Schlarigna";42449;119055
"2024";"Pontresina";119372;381487
"2024";"Samedan";20191;42880
"2024";"St. Moritz";294744;768053
"2024";"Bregaglia";22307;54029
"2024";"Val Müstair";24250;54202
"2024";"Davos";323506;820728
"2024";"Klosters";54426;150865
"2024";"Chur";152499;231708
"2024";"Arosa";136999;430599
"2024";"Maienfeld";21767;38078
"2024";"Breil/Brigels";13790;36727
"2024";"Tujetsch";16539;49058
"2024";"Aarau";19753;31404
"2024";"Baden";59504;124580
"2024";"Lenzburg";16692;29879
"2024";"Rheinfelden";10611;25136
"2024";"Zofingen";10876;23348
"2024";"Arbon";28327;42836
"2024";"Frauenfeld";13895;31924
"2024";"Kreuzlingen";23229;41629
"2024";"Bellinzona";61680;89486
"2024";"Ascona";149957;421254
"2024";"Locarno";130766;275713
"2024";"Muralto";66048;136229
"2024";"Lugano";292195;549241
"2024";"Paradiso";111734;192741
"2024";"Collina d'Oro";4121;10580
"2024";"Monteceneri";1821;2913
"2024";"Chiasso";19207;29938
"2024";"Mendrisio";33820;49920
"2024";"Leysin";67481;185262
"2024";"Ollon";46190;104836
"2024";"Ormont-Dessus";18838;51634
"2024";"Bullet";9951;20425
"2024";"Lausanne";495118;971781
"2024";"Bourg-en-Lavaux";20090;31790
"2024";"Morges";32246;64932
"2024";"Nyon";42228;82498
"2024";"Château-d'Oex";10024;21514
"2024";"Le Chenit";17144;26669
"2024";"Montreux";237150;446412
"2024";"Vevey";52262;103668
"2024";"Blonay - Saint-Légier";26487;39405
"2024";"Yverdon-les-Bains";42128;67259
"2024";"Brig-Glis";94778;200751
"2024";"Nendaz";21604;39434
"2024";"Orsières";49849;63863
"2024";"Val de Bagnes";63591;166817
"2024";"Goms";23685;52669
"2024";"Evolène";21899;39143
"2024";"Leukerbad";103319;205990
"2024";"Martigny";61408;94716
"2024";"Champéry";30967;70319
"2024";"Saint-Maurice";10803;20359
"2024";"Sierre";13032;25218
"2024";"Anniviers";58528;170739
"2024";"Crans-Montana";85219;206972
"2024";"Sion";76769;115054
"2024";"Saas-Fee";82955;236162
"2024";"Saas-Grund";19123;55321
"2024";"Visp";26236;46101
"2024";"Zermatt";680112;1640200
"2024";"La Grande Béroche";6728;11944
"2024";"La Chaux-de-Fonds";19149;31897
"2024";"Neuchâtel";90650;154511
"2024";"Laténa";...;...
"2024";"Genève";1092146;2339075
"2024";"Lancy";60717;110498
"2024";"Meyrin";432831;701707
"2024";"Vernier";150646;315474
"2024";"Delémont";23429;41028
"2024";"Saignelégier";14121;22025
"2024";"Porrentruy";9023;14801
"2024";"Clos du Doubs";8650;13236
"2024";"Moutier (JU)";...;...
