name,countries,regions,localities,status,has_downhill,has_nordic,downhill_distance_km,nordic_distance_km,vertical_m,min_elevation_m,max_elevation_m,lift_count,surface_lifts_count,run_convention,wikidata_id,websites,openskimap,id,geometry,lat,lng,sources
"サッポロテイネ, Sapporo Teine",Japan,Hokkaido Prefecture,,operating,yes,no,14,,646,340,986,12,1,japan,Q7421109,https://sapporo-teine.com/snow/,https://openskimap.org/?obj=007cb46a0e3b4f61b720e722ef138ae446f153af,007cb46a0e3b4f61b720e722ef138ae446f153af,Polygon,43.087512,141.207048,https://www.openstreetmap.org/way/1083658291 https://www.skimap.org/SkiAreas/view/1307
Lofer Nordic,Austria,Salzburg,Lofer,operating,no,yes,,2,4,628,631,,,europe,,,https://openskimap.org/?obj=007e900c759d61e9e3147211d3bbab1a656d782e,007e900c759d61e9e3147211d3bbab1a656d782e,Point,47.575224,12.695646,https://www.skimap.org/SkiAreas/view/19099
,Russia,Bashkortostan,,operating,yes,no,1,,70,183,254,1,,europe,,,https://openskimap.org/?obj=007f5127-9452-496c-b658-098d8873f47e,007f5127-9452-496c-b658-098d8873f47e,Point,54.490766,54.119083,
Iroquois Mountain Lodge (Mission Hill),United States,Michigan,,abandoned,yes,no,,,,,,,,north_america,,,https://openskimap.org/?obj=0081582f08190ffb53a7823ffac363abcd82bd3b,0081582f08190ffb53a7823ffac363abcd82bd3b,Point,46.476231,-84.686952,https://www.skimap.org/SkiAreas/view/19158
,Norway,Trøndelag,,operating,no,yes,,11,306,2,308,,,europe,,,https://openskimap.org/?obj=00879a80-d27a-4b58-b538-909537282955,00879a80-d27a-4b58-b538-909537282955,Point,63.532680,8.787295,
Villaggio Palumbo,Italy,Crotone,,operating,yes,no,7,,314,1337,1650,4,2,europe,,http://www.palumbosila.it/,https://openskimap.org/?obj=009d4cedccaaed9c4fbaf1f4409d1e428addfdd3,009d4cedccaaed9c4fbaf1f4409d1e428addfdd3,Point,39.190926,16.647566,https://www.skimap.org/SkiAreas/view/4479
Battle Creek Regional Park East,United States,Minnesota,"Maplewood;Woodbury",operating,no,yes,,7,37,280,317,,,north_america,,https://www.ramseycounty.us/residents/parks-recreation/programs-activities/self-guided-activities/cross-country-skiing,https://openskimap.org/?obj=00a251d44a9f0522b877c414d3694ae2b9a6edf5,00a251d44a9f0522b877c414d3694ae2b9a6edf5,Point,44.938121,-92.995173,https://www.openstreetmap.org/relation/18021011
Hunter Mountain,United States,New York,Hunter,operating,yes,no,27,,469,500,969,10,2,north_america,,https://www.huntermtn.com,https://openskimap.org/?obj=00a3d696640741b896c390bba01c30aecebdc52d,00a3d696640741b896c390bba01c30aecebdc52d,Polygon,42.201891,-74.218420,https://www.openstreetmap.org/relation/14322044 https://www.skimap.org/SkiAreas/view/315
Hemavan,Sweden,Vasterbotten County,,,no,yes,,7,32,471,503,,,europe,,,https://openskimap.org/?obj=00a60b44cee839f1cf9f265a503ff5b4f5d9693b,00a60b44cee839f1cf9f265a503ff5b4f5d9693b,Point,65.806382,15.108089,https://www.skimap.org/SkiAreas/view/2010
,Austria,Upper Austria,,operating,no,yes,,3,15,598,613,,,europe,,,https://openskimap.org/?obj=00a6e252-1c84-4955-b27e-fb760b4d1bc4,00a6e252-1c84-4955-b27e-fb760b4d1bc4,Point,48.455965,14.263331,
,Czechia,Moravian-Silesian,Hradec nad Moravicí,operating,no,yes,,23,232,278,510,,,europe,,,https://openskimap.org/?obj=00a72a13-7581-4616-98ec-b410d39602a3,00a72a13-7581-4616-98ec-b410d39602a3,Point,49.831235,17.871567,
Hurdal Skisenter,Norway,Viken,,operating,yes,no,5,,222,301,523,4,4,europe,,https://skihurdal.no/,https://openskimap.org/?obj=00add16ceef138769d29cbab99336842b8d6421f,00add16ceef138769d29cbab99336842b8d6421f,Point,60.463445,11.073409,https://www.openstreetmap.org/relation/3585655 https://www.skimap.org/SkiAreas/view/14342
,Canada,Quebec,Saint-Tite,operating,no,yes,,2,26,162,188,,,north_america,,,https://openskimap.org/?obj=00b09319-d4f0-4e24-9884-a6fdf14eeea9,00b09319-d4f0-4e24-9884-a6fdf14eeea9,Point,46.737514,-72.503597,
