"Year";"Month";"Commune";"Establishments";"Rooms";"Beds";"Arrivals";"Overnight stays";"Room nights";"Room occupancy";"Bed occupancy"
"2020";"Total of the year";"Beckenried";4.83;99.82;238.18;17635.00;31365.00;16775.00;46.27;36.23
"2020";"Total of the year";"Emmetten";4.58;162.26;352.84;10245.00;17504.00;10813.00;19.10;14.49
"2020";"Total of the year";"Glarus Nord";9.00;197.54;434.11;13823.00;29027.00;18852.00;26.93;18.97
"2020";"Total of the year";"Glarus S?d";19.08;300.23;676.98;28580.00;64460.00;28361.00;30.01;30.50
"2020";"Total of the year";"Unter?geri";3.92;101.44;176.61;5890.00;10418.00;7020.00;19.28;16.44
"2020";"Total of the year";"Zug";8.75;443.66;744.22;21220.00;58793.00;44365.00;27.98;22.08
"2020";"Total of the year";"Haut-Intyamon";3.67;34.49;67.24;1679.00;3273.00;2216.00;18.44;14.05
"2020";"Total of the year";"Bulle";4.67;154.80;324.45;15090.00;27630.00;19273.00;35.35;24.20
"2020";"Total of the year";"Gruy?res";5.50;84.51;221.39;12222.00;16958.00;9878.00;35.33;23.66
"2020";"Total of the year";"Fribourg";6.50;302.95;608.50;33264.00;57669.00;39062.00;37.08;27.16
"2020";"Total of the year";"Murten";7.17;145.93;267.36;19177.00;32461.00;20899.00;41.57;35.24
"2020";"Total of the year";"Plaffeien";4.50;85.67;223.83;10564.00;20542.00;10603.00;40.52;29.97
"2020";"Total of the year";"Egerkingen";3.92;211.27;378.19;23795.00;38626.00;27758.00;36.07;28.05
"2020";"Total of the year";"Grenchen";4.75;87.15;160.65;6118.00;12576.00;9982.00;31.50;21.53
"2020";"Total of the year";"Olten";7.67;276.26;515.67;22673.00;48077.00;35452.00;36.04;26.18
"2020";"Total of the year";"Solothurn";11.00;321.50;610.01;43813.00;72374.00;48310.00;41.41;32.72
"2020";"Total of the year";"Basel";52.67;3852.19;7576.80;295079.00;539890.00;392723.00;28.86;20.17
"2020";"Total of the year";"Liestal";4.92;155.95;275.82;9125.00;16469.00;13066.00;23.61;16.86
"2020";"Total of the year";"Pratteln";4.50;242.72;541.30;28822.00;46442.00;30144.00;34.69;24.04
"2020";"Total of the year";"Schaffhausen";9.83;321.19;604.33;38995.00;65974.00;44117.00;41.69;33.13
"2020";"Total of the year";"Hundwil";3.33;75.93;169.06;15707.00;20698.00;12802.00;50.50;36.78
"2020";"Total of the year";"Gais";4.92;180.58;271.34;6493.00;9989.00;6658.00;10.19;10.21
"2020";"Total of the year";"Teufen (AR)";4.00;45.00;81.00;3593.00;8256.00;5761.00;35.24;28.05
"2020";"Total of the year";"Heiden";4.25;86.14;146.01;10983.00;23907.00;15730.00;55.02;48.95
"2020";"Total of the year";"Appenzell";9.58;194.78;414.31;30473.00;51702.00;30321.00;46.80;37.60
"2020";"Total of the year";"Gonten";4.33;53.85;114.53;6281.00;15879.00;10350.00;54.25;39.70
"2020";"Total of the year";"St. Gallen";19.25;800.18;1485.13;70648.00;145369.00;105395.00;37.07;27.51
"2020";"Total of the year";"Rorschacherberg";3.00;103.00;188.00;15375.00;27191.00;18314.00;51.15;41.64
"2020";"Total of the year";"Altst?tten";3.00;79.00;147.00;3363.00;5491.00;3870.00;13.68;10.45
"2020";"Total of the year";"Buchs (SG)";4.75;137.90;217.69;6043.00;11364.00;8402.00;17.19;14.89
"2020";"Total of the year";"Bad Ragaz";10.25;451.49;914.68;48054.00;123354.00;78174.00;48.76;37.92
"2020";"Total of the year";"Flums";6.42;109.32;206.86;8347.00;14865.00;9619.00;26.92;22.22
"2020";"Total of the year";"Quarten";9.67;192.48;451.73;16299.00;31772.00;17854.00;26.94;20.25
"2020";"Total of the year";"Walenstadt";4.50;66.17;130.11;5682.00;9150.00;5914.00;25.95;20.49
"2020";"Total of the year";"Amden";7.50;98.19;214.05;8938.00;15363.00;9166.00;31.55;24.61
