46.888219,7.77117
47.064442,8.655981
47.343393,7.759754
47.474943,8.429961
47.332043,8.877998
46.774952,10.261516
47.122512,7.016693
46.678332,7.166617
46.571709,9.930234
46.780622,6.475238
46.252442,7.928561
46.806238,9.908266
46.090733,7.524715
46.309956,8.057819
46.27056,7.778685
46.124223,7.268922
47.124386,8.556048
46.910923,8.363434
47.288205,9.413753
47.385723,8.913295
46.808615,8.038596
47.141072,8.737608
46.432683,9.814586
46.598146,7.537829
46.536457,9.863374
46.237947,7.617368
46.61713,7.966453
46.656434,8.062863
46.839774,7.905416
46.547275,7.988323
46.990354,9.629418
46.597337,7.965674
46.869478,6.620861
47.224089,7.382764
47.091113,6.993601
47.062496,9.046959
46.751642,9.338631
46.479875,8.763442
45.930357,7.104197
46.639696,6.319654
47.32227,9.361775
46.313608,7.402543
46.215908,7.468487
46.770045,7.677703
46.602601,9.133281
46.859551,9.887647
46.884831,8.732719
46.834611,6.531148
46.790259,9.0768
46.556851,7.026206
46.513429,6.948498
47.177468,9.30426
46.795169,9.448927
46.892794,8.122463
46.579191,9.570925
47.493977,9.119931
46.734555,7.404258
46.607006,9.947191
46.901713,8.709588
46.934218,9.761154
46.278359,8.051307
47.146502,7.171367
46.850634,9.652781
46.316734,8.467528
46.874477,7.720566
47.048793,8.482523
47.258061,8.736773
46.596635,7.341811
46.492579,6.914857
47.366582,9.457759
46.087361,7.966026
46.657111,7.010488
46.820805,8.105418
46.989366,9.439448
47.301652,8.66531
47.003945,8.2108
46.679898,7.168022
46.852105,9.823956
46.33738,7.225607
46.757002,7.449153
46.637911,7.443396
46.958511,9.632906
47.35412,9.470115
47.073064,9.093969
46.708468,7.821176
46.439983,8.164891
46.756357,7.897396
46.931426,8.484578
47.261462,7.534585
46.750777,9.56831
46.111873,8.843212
46.468592,7.236627
47.224718,9.196062
46.684017,9.569677
46.602223,7.287253
47.316708,9.344728
47.44434,9.297506
46.563894,7.476504
46.903449,8.133771
46.591482,9.597299
47.205757,8.148881
47.071233,8.8334
46.62444,9.764728
47.035533,7.792259
46.739237,8.967095
46.583333,9.583333
47.421706,7.952778
47.246431,7.136182
46.595601,6.242712
46.253162,7.280858
46.022863,7.47239
46.58941,7.027042
46.971167,6.743759
46.854179,6.605928
46.835675,8.410063
46.697165,9.367634
47.027049,8.74639
46.491559,8.483829
46.91794,8.439814
46.457491,9.163728
47.037249,8.784017
47.251796,7.507181
47.105945,9.125776
46.328287,7.130151
47.12183,8.885121
46.597793,8.498772
46.510422,8.612196
46.870418,6.548083
46.498365,7.698246
47.117632,7.078623
46.598037,6.696676
47.297782,9.346081
46.790057,8.124744
46.637911,7.443396
46.970647,9.80446
45.900436,7.196363
47.285914,8.946504
46.704372,7.775632
47.444358,9.480784
46.627689,7.725082
46.518845,7.624583
46.807537,8.025433
46.640132,10.324352
47.296756,9.466008
46.875002,8.008837
46.735031,7.363947
47.040428,8.706242
46.751763,8.22884
47.256679,9.068646
46.436208,7.572683
46.776933,7.825548
47.148045,9.177859
46.687367,7.546749
46.421158,7.76295
46.80677,9.847589
46.33184,7.494473
47.125611,8.84823
46.542957,6.97313
46.116803,8.892291
47.245446,9.245074
46.441912,7.419103
47.003826,8.216757
47.42023,8.985994
46.560532,8.932112
46.02609,7.104258
46.733518,7.279764
47.413722,9.381337
46.114997,7.456182
46.671826,9.487873
47.314394,9.049614
46.397902,9.707111
47.193555,9.105922
46.40094,7.60946
46.335879,7.725606
47.425462,8.099248
47.228562,7.270253
46.138497,7.965783
47.030437,6.748076
46.117931,6.996463
46.371762,7.641447
46.396888,9.706414
47.121199,8.54009
46.725333,9.385198
46.827986,7.678937
47.332648,8.900525
47.319985,8.929622
46.217604,6.953557
47.344596,9.226604
47.027059,8.696311
46.831458,6.529501
46.009521,8.862373
46.646247,7.733352
46.427992,8.662444
46.46324,8.228257
46.490457,9.912169
47.063584,8.469733
46.750949,7.684288
47.299194,8.901917
46.840096,7.678072
46.593877,9.596572
47.008743,8.784839
45.983133,7.152705
46.791621,8.396699
46.463125,9.196338
47.283224,9.158852
47.139859,8.667304
46.853619,8.687229
46.920466,9.146162
46.966223,9.535482
47.022841,8.52701
46.19671,7.862656
47.011551,8.721446
47.181891,9.344331
46.627724,7.205651
46.202544,7.138183
46.512456,7.343354
47.142673,8.732133
47.309297,9.288189
46.216602,7.045774
47.415613,9.548346
46.531854,9.319197
46.747483,7.42642
46.492202,8.268051
46.731517,7.853696
46.688972,7.035707
46.781531,9.524175
46.438467,6.967465
46.440639,8.16467
47.058686,7.95655
47.33937,8.864145
47.33966,8.934942
46.46369,9.644694
46.520163,8.878441
47.413285,9.43482
46.521098,9.898338
46.351389,7.158056
47.246475,9.109725
47.184951,8.232888
47.35247,9.114363
46.449787,7.292911
45.960511,7.210252
47.294734,9.45108
46.427597,9.976315
47.228258,9.156785
46.226158,7.907945
46.899101,8.501481
46.532886,8.357677
46.879273,8.013647
46.565879,6.691457
47.066638,6.850484
46.393578,9.666089
47.290307,7.674587
46.972167,8.6649
46.395192,7.102111
46.874605,7.906016
47.311685,9.210841
47.298009,9.344724
46.462934,7.319322
46.957123,9.036849
46.463024,9.196898
